"Immune_cells" "Inflammation" "Neutrophils" "Proliferation" "Th1" "Th17" "Patient" "Perturbation" "Apoptosis"
"661" 1 1 1 0.102 1 0.1 "GSM2882406" "IFNAR_OFF" 0
"662" 1 1 1 0.003 1 0.004 "GSM2882406" "TNFRSF1A_OFF" 0
"663" 1 1 1 0.118 1 0.117 "GSM2882406" "IL6R_OFF" 0
"664" 1 1 1 0.102 1 0.1 "GSM2882406" "IL36R_OFF" 0
"665" 1 1 1 0 1 0 "GSM3293911" "IL17R_OFF" 0
"666" 1 1 1 0.737 1 0.754 "GSM3293911" "IL22R_OFF" 0
"667" 1 1 1 0.745 1 0.769 "GSM3293911" "IL1R1_OFF" 0
"668" 1 1 1 0.747 1 0.764747 "GSM3293911" "IFNGR_OFF" 0
"669" 1 1 1 0.733 1 0.767 "GSM3293911" "IFNAR_OFF" 0
"670" 1 1 1 0 1 0 "GSM3293911" "TNFRSF1A_OFF" 0
"671" 1 1 1 0.739 1 0.766 "GSM3293911" "IL6R_OFF" 0
"672" 1 1 1 0.733 1 0.767 "GSM3293911" "IL36R_OFF" 0
"673" 1 1 1 0 1 0 "GSM2211699" "IL17R_OFF" 0
"674" 1 1 1 1 1 0.999 "GSM2211699" "IL22R_OFF" 0
"675" 1 1 1 1 1 1 "GSM2211699" "IL1R1_OFF" 0
"676" 1 1 1 0.999 1 0.999 "GSM2211699" "IFNGR_OFF" 0
"677" 1 1 1 1 1 1 "GSM2211699" "IFNAR_OFF" 0
"678" 1 1 1 0 1 0 "GSM2211699" "TNFRSF1A_OFF" 0
"679" 1 1 1 1 1 1 "GSM2211699" "IL6R_OFF" 0
"680" 1 1 1 1 1 1 "GSM2211699" "IL36R_OFF" 0
"681" 1 1 1 0.001 1 0.001 "GSM1315695" "IL17R_OFF" 0
"682" 1 1 1 1 1 1 "GSM1315695" "IL22R_OFF" 0
"683" 1 1 1 1 1 1 "GSM1315695" "IL1R1_OFF" 0
"684" 1 1 1 1 1 1 "GSM1315695" "IFNGR_OFF" 0
"685" 1 1 1 1 1 1 "GSM1315695" "IFNAR_OFF" 0
"686" 1 1 1 0 1 0 "GSM1315695" "TNFRSF1A_OFF" 0
"687" 1 1 1 1 1 1 "GSM1315695" "IL6R_OFF" 0
"688" 1 1 1 1 1 1 "GSM1315695" "IL36R_OFF" 0
"689" 1 0.984 1 0.004 0.735 0.004 "GSM2211703" "IL17R_OFF" 0
"690" 1 0.999 1 0.746 0.746 0.689 "GSM2211703" "IL22R_OFF" 0
"691" 1 0.999 1 0.738 0.734 0.672 "GSM2211703" "IL1R1_OFF" 0
"692" 1 1 1 0.772 0.668963 0.713 "GSM2211703" "IFNGR_OFF" 0
"693" 1 0.999 1 0.733 0.756 0.661 "GSM2211703" "IFNAR_OFF" 0
"694" 1 1 1 0 0.747 0 "GSM2211703" "TNFRSF1A_OFF" 0
"695" 1 1 0.999 0.737 0.731 0.665 "GSM2211703" "IL6R_OFF" 0
"696" 1 0.999 1 0.733 0.756 0.661 "GSM2211703" "IL36R_OFF" 0
"697" 1 0.86 1 0 0.677 0 "GSM2882404" "IL17R_OFF" 0
"698" 1 0.947 1 0.827 0.654 0.368 "GSM2882404" "IL22R_OFF" 0
"699" 1 0.946 1 0.824 0.658 0.392 "GSM2882404" "IL1R1_OFF" 0
"700" 1 0.954 1 0.848 0.679 0.366 "GSM2882404" "IFNGR_OFF" 0
"701" 1 0.948 1 0.816 0.665 0.392 "GSM2882404" "IFNAR_OFF" 0
"702" 1 0.926 1 0 0.694 0 "GSM2882404" "TNFRSF1A_OFF" 0
"703" 1 0.953 1 0.861 0.647 0.413 "GSM2882404" "IL6R_OFF" 0
"704" 1 0.948 1 0.816 0.665 0.392 "GSM2882404" "IL36R_OFF" 0
"705" 1 1 1 0 1 0 "GSM1315763" "IL17R_OFF" 0
"706" 1 1 1 1 1 1 "GSM1315763" "IL22R_OFF" 0
"707" 1 1 1 1 1 1 "GSM1315763" "IL1R1_OFF" 0
"708" 1 1 1 1 1 1 "GSM1315763" "IFNGR_OFF" 0
"709" 1 1 1 1 1 1 "GSM1315763" "IFNAR_OFF" 0
"710" 1 1 1 0 1 0 "GSM1315763" "TNFRSF1A_OFF" 0
"711" 1 1 1 1 1 1 "GSM1315763" "IL6R_OFF" 0
"712" 1 1 1 1 1 1 "GSM1315763" "IL36R_OFF" 0
"713" 1 1 1 0.055 1 0.053 "GSM1930399" "IL17R_OFF" 0
"714" 1 1 1 0.983 1 0.985 "GSM1930399" "IL22R_OFF" 0
"715" 1 1 1 0.984 1 0.985 "GSM1930399" "IL1R1_OFF" 0
"716" 1 1 1 0.983 1 0.983 "GSM1930399" "IFNGR_OFF" 0
"717" 1 1 1 0.985 1 0.986 "GSM1930399" "IFNAR_OFF" 0
"718" 1 1 1 0 1 0 "GSM1930399" "TNFRSF1A_OFF" 0
"719" 1 1 1 0.978 1 0.979 "GSM1930399" "IL6R_OFF" 0
"720" 1 1 1 0.985 1 0.986 "GSM1930399" "IL36R_OFF" 0
"721" 1 0.818 0.945 0 0.92 0 "GSM3293898" "IL17R_OFF" 0
"722" 1 0.879 0.991 0.385 0.92 0.106 "GSM3293898" "IL22R_OFF" 0
"723" 1 0.889 0.995 0.389 0.936 0.096 "GSM3293898" "IL1R1_OFF" 0
"724" 1 0.864 0.971 0.429 0.944 0.116 "GSM3293898" "IFNGR_OFF" 0
"725" 1 0.896 0.995 0.393 0.942 0.107 "GSM3293898" "IFNAR_OFF" 0
"726" 1 0.891 0.991 0.032 0.923 0.006 "GSM3293898" "TNFRSF1A_OFF" 0
"727" 1 0.896 0.991 0.417 0.922 0.11 "GSM3293898" "IL6R_OFF" 0
"728" 1 0.896 0.995 0.393 0.942 0.107 "GSM3293898" "IL36R_OFF" 0
"729" 1 1 1 0.129233 1 0.127 "GSM1315630" "IL17R_OFF" 0.287787
"730" 1 1 1 0.334116 1 0.34 "GSM1315630" "IL22R_OFF" 0.298
"731" 1 1 1 0.319 1 0.319 "GSM1315630" "IL1R1_OFF" 0.327
"732" 1 1 1 0.330007 0.901 0.331 "GSM1315630" "IFNGR_OFF" 0.284
"733" 1 1 1 0.326 1 0.325 "GSM1315630" "IFNAR_OFF" 0.323
"734" 1 1 1 0 1 0 "GSM1315630" "TNFRSF1A_OFF" 0.288
"735" 1 1 1 0.3 1 0.303 "GSM1315630" "IL6R_OFF" 0.298
"736" 1 1 1 0.326 1 0.325 "GSM1315630" "IL36R_OFF" 0.323
"737" 1 0.776 0.74 0 0.544 0 "GSM1930397" "IL17R_OFF" 0.063
"738" 1 0.894 0.848 0.155 0.528 0.022 "GSM1930397" "IL22R_OFF" 0.041
"739" 1 0.888 0.834 0.164 0.500804 0.017 "GSM1930397" "IL1R1_OFF" 0.053
"740" 0.999 0.884 0.55848 0.141 0.486949 0.021 "GSM1930397" "IFNGR_OFF" 0.058
"741" 1 0.877 0.841 0.162 0.513804 0.019 "GSM1930397" "IFNAR_OFF" 0.046
"742" 1 0.905 0.798 0 0.524 0 "GSM1930397" "TNFRSF1A_OFF" 0.041
"743" 1 0.896 0.834 0.123 0.556 0.013 "GSM1930397" "IL6R_OFF" 0.056
"744" 1 0.877 0.841 0.162 0.513804 0.019 "GSM1930397" "IL36R_OFF" 0.046
"745" 1 1 1 0 0.999 0 "GSM1930391" "IL17R_OFF" 0
"746" 1 1 1 0.827 1 0.827 "GSM1930391" "IL22R_OFF" 0
"747" 1 1 1 0.828 1 0.826 "GSM1930391" "IL1R1_OFF" 0
"748" 1 1 1 0.831 0.998 0.825 "GSM1930391" "IFNGR_OFF" 0
"749" 1 1 1 0.833 1 0.832177 "GSM1930391" "IFNAR_OFF" 0
"750" 1 1 1 0 0.999 0 "GSM1930391" "TNFRSF1A_OFF" 0
"751" 1 1 1 0.813 0.999 0.818 "GSM1930391" "IL6R_OFF" 0
"752" 1 1 1 0.833 1 0.832177 "GSM1930391" "IL36R_OFF" 0
"753" 1 1 1 0 1 0 "GSM1315698" "IL17R_OFF" 0
"754" 1 1 1 0.997 1 0.998 "GSM1315698" "IL22R_OFF" 0
"755" 1 1 1 0.997 1 0.997 "GSM1315698" "IL1R1_OFF" 0
"756" 1 1 1 0.996 1 0.996 "GSM1315698" "IFNGR_OFF" 0
"757" 1 1 1 0.998 1 0.998 "GSM1315698" "IFNAR_OFF" 0
"758" 1 1 1 0 1 0 "GSM1315698" "TNFRSF1A_OFF" 0
"759" 1 1 1 0.992 1 0.992 "GSM1315698" "IL6R_OFF" 0
"760" 1 1 1 0.998 1 0.998 "GSM1315698" "IL36R_OFF" 0
"761" 1 1 1 0 1 0 "GSM1656064" "IL17R_OFF" 0
"762" 1 1 1 0.995 1 0.993 "GSM1656064" "IL22R_OFF" 0
"763" 1 1 1 0.998 1 0.997 "GSM1656064" "IL1R1_OFF" 0
"764" 1 1 1 1 1 1 "GSM1656064" "IFNGR_OFF" 0
"765" 1 1 1 0.999 1 0.998 "GSM1656064" "IFNAR_OFF" 0
"766" 1 1 1 0 1 0 "GSM1656064" "TNFRSF1A_OFF" 0
"767" 1 1 1 0.997 1 0.997 "GSM1656064" "IL6R_OFF" 0
"768" 1 1 1 0.999 1 0.998 "GSM1656064" "IL36R_OFF" 0
"769" 1 1 1 0.036 1 0.035 "GSM1315759" "IL17R_OFF" 0
"770" 1 1 1 0.971 1 0.969439 "GSM1315759" "IL22R_OFF" 0
"771" 1 1 1 0.968 1 0.966 "GSM1315759" "IL1R1_OFF" 0
"772" 1 1 1 0.966 1 0.965 "GSM1315759" "IFNGR_OFF" 0
"773" 1 1 1 0.966 1 0.964 "GSM1315759" "IFNAR_OFF" 0
"774" 1 1 1 0.025 1 0.025 "GSM1315759" "TNFRSF1A_OFF" 0
"775" 1 1 1 0.979 1 0.975 "GSM1315759" "IL6R_OFF" 0
"776" 1 1 1 0.966 1 0.964 "GSM1315759" "IL36R_OFF" 0
"777" 1 1 1 0.05 1 0.05 "GSM1315657" "IL17R_OFF" 0
"778" 1 1 1 0.889 1 0.888 "GSM1315657" "IL22R_OFF" 0
"779" 1 1 1 0.882 1 0.88 "GSM1315657" "IL1R1_OFF" 0
"780" 1 1 1 0.899 1 0.899 "GSM1315657" "IFNGR_OFF" 0
"781" 1 1 1 0.883 1 0.885 "GSM1315657" "IFNAR_OFF" 0
"782" 1 1 1 0 1 0 "GSM1315657" "TNFRSF1A_OFF" 0
"783" 1 1 1 0.894 1 0.895 "GSM1315657" "IL6R_OFF" 0
"784" 1 1 1 0.883 1 0.885 "GSM1315657" "IL36R_OFF" 0
"785" 1 1 1 0.003 1 0.002 "GSM1315623" "IL17R_OFF" 0
"786" 1 1 1 0.743 1 0.649 "GSM1315623" "IL22R_OFF" 0
"787" 1 1 1 0.706 1 0.598 "GSM1315623" "IL1R1_OFF" 0
"788" 1 1 1 0.695 1 0.596 "GSM1315623" "IFNGR_OFF" 0
"789" 1 1 1 0.692 1 0.6 "GSM1315623" "IFNAR_OFF" 0
"790" 1 1 1 0.073 1 0.064 "GSM1315623" "TNFRSF1A_OFF" 0
"791" 1 1 1 0.708 1 0.601 "GSM1315623" "IL6R_OFF" 0
"792" 1 1 1 0.692 1 0.6 "GSM1315623" "IL36R_OFF" 0
"793" 1 1 1 0 1 0 "GSM1023438" "IL17R_OFF" 0
"794" 1 1 1 0.984 1 0.98 "GSM1023438" "IL22R_OFF" 0
"795" 1 1 1 0.984 1 0.983 "GSM1023438" "IL1R1_OFF" 0
"796" 1 1 1 0.989 1 0.986 "GSM1023438" "IFNGR_OFF" 0
"797" 1 1 1 0.989 1 0.987 "GSM1023438" "IFNAR_OFF" 0
"798" 1 1 1 0 1 0 "GSM1023438" "TNFRSF1A_OFF" 0
"799" 1 1 1 0.989 1 0.984 "GSM1023438" "IL6R_OFF" 0
"800" 1 1 1 0.989 1 0.987 "GSM1023438" "IL36R_OFF" 0
"801" 1 1 1 0 1 0 "GSM1315642" "IL17R_OFF" 0
"802" 1 1 1 0.989 1 0.989 "GSM1315642" "IL22R_OFF" 0
"803" 1 1 1 0.988 1 0.987 "GSM1315642" "IL1R1_OFF" 0
"804" 1 1 1 0.992 1 0.992 "GSM1315642" "IFNGR_OFF" 0
"805" 1 1 1 0.99 1 0.989 "GSM1315642" "IFNAR_OFF" 0
"806" 1 1 1 0 1 0 "GSM1315642" "TNFRSF1A_OFF" 0
"807" 1 1 1 0.99 1 0.988 "GSM1315642" "IL6R_OFF" 0
"808" 1 1 1 0.99 1 0.989 "GSM1315642" "IL36R_OFF" 0
"809" 1 0.975 0.981 0.069 0.469 0.017 "GSM3293899" "IL17R_OFF" 0
"810" 1 0.982 0.988 0.196 0.471 0.038 "GSM3293899" "IL22R_OFF" 0
"811" 1 0.99 0.989 0.194 0.472 0.042 "GSM3293899" "IL1R1_OFF" 0
"812" 1 0.986 0.778 0.196 0.475 0.044 "GSM3293899" "IFNGR_OFF" 0
"813" 1 0.99 0.989 0.196 0.475 0.042 "GSM3293899" "IFNAR_OFF" 0
"814" 1 0.978 0.972 0 0.463 0 "GSM3293899" "TNFRSF1A_OFF" 0
"815" 1 0.986 0.989 0.201 0.468 0.028 "GSM3293899" "IL6R_OFF" 0
"816" 1 0.99 0.989 0.196 0.475 0.042 "GSM3293899" "IL36R_OFF" 0
"817" 1 1 1 0 0.986 0 "GSM1315613" "IL17R_OFF" 0
"818" 1 1 1 0.784 0.988 0.476 "GSM1315613" "IL22R_OFF" 0
"819" 1 1 1 0.774 0.979 0.454 "GSM1315613" "IL1R1_OFF" 0
"820" 1 1 1 0.784 0.981 0.48 "GSM1315613" "IFNGR_OFF" 0
"821" 1 1 1 0.788 0.983 0.467 "GSM1315613" "IFNAR_OFF" 0
"822" 1 1 1 0 0.985 0 "GSM1315613" "TNFRSF1A_OFF" 0
"823" 1 1 1 0.782 0.985 0.443 "GSM1315613" "IL6R_OFF" 0
"824" 1 1 1 0.788 0.983 0.467 "GSM1315613" "IL36R_OFF" 0
"825" 1 0.999 1 0.164392 0.997 0.147 "GSM2211709" "IL17R_OFF" 0
"826" 1 1 1 0.999 0.996 0.908 "GSM2211709" "IL22R_OFF" 0
"827" 1 1 1 0.999 0.997 0.886 "GSM2211709" "IL1R1_OFF" 0
"828" 1 1 1 1 0.996 0.887 "GSM2211709" "IFNGR_OFF" 0
"829" 1 1 1 0.999 0.999 0.889 "GSM2211709" "IFNAR_OFF" 0
"830" 1 1 1 0 0.995 0 "GSM2211709" "TNFRSF1A_OFF" 0
"831" 1 1 1 1 0.996 0.903 "GSM2211709" "IL6R_OFF" 0
"832" 1 1 1 0.999 0.999 0.889 "GSM2211709" "IL36R_OFF" 0
"833" 1 1 1 0 1 0 "GSM1315699" "IL17R_OFF" 0
"834" 1 1 1 0.583 1 0.585 "GSM1315699" "IL22R_OFF" 0
"835" 1 1 1 0.563 1 0.563 "GSM1315699" "IL1R1_OFF" 0
"836" 1 1 1 0.575 1 0.575 "GSM1315699" "IFNGR_OFF" 0
"837" 1 1 1 0.588 1 0.586 "GSM1315699" "IFNAR_OFF" 0
"838" 1 1 1 0 1 0 "GSM1315699" "TNFRSF1A_OFF" 0
"839" 1 1 1 0.59 1 0.584 "GSM1315699" "IL6R_OFF" 0
"840" 1 1 1 0.588 1 0.586 "GSM1315699" "IL36R_OFF" 0
"841" 1 1 1 0 1 0 "GSM1930395" "IL17R_OFF" 0
"842" 1 1 1 0.999 1 0.999 "GSM1930395" "IL22R_OFF" 0
"843" 1 1 1 1 1 1 "GSM1930395" "IL1R1_OFF" 0
"844" 1 1 1 0.997 1 0.997 "GSM1930395" "IFNGR_OFF" 0
"845" 1 1 1 1 1 1 "GSM1930395" "IFNAR_OFF" 0
"846" 1 1 1 0 1 0 "GSM1930395" "TNFRSF1A_OFF" 0
"847" 1 1 1 0.999 1 0.999 "GSM1930395" "IL6R_OFF" 0
"848" 1 1 1 1 1 1 "GSM1930395" "IL36R_OFF" 0
"849" 1 1 1 0 1 0 "GSM1315755" "IL17R_OFF" 0
"850" 1 1 1 1 1 1 "GSM1315755" "IL22R_OFF" 0
"851" 1 1 1 1 1 1 "GSM1315755" "IL1R1_OFF" 0
"852" 1 1 1 1 1 1 "GSM1315755" "IFNGR_OFF" 0
"853" 1 1 1 1 1 1 "GSM1315755" "IFNAR_OFF" 0
"854" 1 1 1 0 1 0 "GSM1315755" "TNFRSF1A_OFF" 0
"855" 1 1 1 1 1 1 "GSM1315755" "IL6R_OFF" 0
"856" 1 1 1 1 1 1 "GSM1315755" "IL36R_OFF" 0
"857" 1 1 1 0.014 0.947 0.014 "GSM1656058" "IL17R_OFF" 0
"858" 1 1 1 0.995 0.945 0.991 "GSM1656058" "IL22R_OFF" 0
"859" 1 1 1 0.997 0.966 0.992 "GSM1656058" "IL1R1_OFF" 0
"860" 1 1 1 0.991 0.953 0.988 "GSM1656058" "IFNGR_OFF" 0
"861" 1 1 1 0.994 0.952 0.987 "GSM1656058" "IFNAR_OFF" 0
"862" 1 1 1 0.007 0.953 0.008 "GSM1656058" "TNFRSF1A_OFF" 0
"863" 1 1 1 0.995 0.969 0.992 "GSM1656058" "IL6R_OFF" 0
"864" 1 1 1 0.994 0.952 0.987 "GSM1656058" "IL36R_OFF" 0
"865" 1 1 1 0 1 0 "GSM1315746" "IL17R_OFF" 0
"866" 1 1 1 0.814 1 0.811 "GSM1315746" "IL22R_OFF" 0
"867" 1 1 1 0.825 1 0.827 "GSM1315746" "IL1R1_OFF" 0
"868" 1 1 1 0.807 1 0.805 "GSM1315746" "IFNGR_OFF" 0
"869" 1 1 1 0.819 1 0.822 "GSM1315746" "IFNAR_OFF" 0
"870" 1 1 1 0 1 0 "GSM1315746" "TNFRSF1A_OFF" 0
"871" 1 1 1 0.795449 1 0.795 "GSM1315746" "IL6R_OFF" 0
"872" 1 1 1 0.819 1 0.822 "GSM1315746" "IL36R_OFF" 0
"873" 1 1 1 0.029 1 0.03 "GSM1930383" "IL17R_OFF" 0
"874" 1 1 1 0.729 1 0.731 "GSM1930383" "IL22R_OFF" 0
"875" 1 1 1 0.742 1 0.747 "GSM1930383" "IL1R1_OFF" 0
"876" 1 1 1 0.726 1 0.731 "GSM1930383" "IFNGR_OFF" 0
"877" 1 1 1 0.73 1 0.735 "GSM1930383" "IFNAR_OFF" 0
"878" 1 1 1 0 1 0 "GSM1930383" "TNFRSF1A_OFF" 0
"879" 1 1 1 0.755 1 0.753 "GSM1930383" "IL6R_OFF" 0
"880" 1 1 1 0.73 1 0.735 "GSM1930383" "IL36R_OFF" 0
"881" 1 1 1 0.037 1 0.035 "GSM1315631" "IL17R_OFF" 0
"882" 1 1 1 0.626 1 0.608 "GSM1315631" "IL22R_OFF" 0
"883" 1 1 1 0.642 1 0.627 "GSM1315631" "IL1R1_OFF" 0
"884" 1 1 1 0.606 1 0.597 "GSM1315631" "IFNGR_OFF" 0
"885" 1 1 1 0.644 1 0.627 "GSM1315631" "IFNAR_OFF" 0
"886" 1 1 1 0.097 1 0.093 "GSM1315631" "TNFRSF1A_OFF" 0
"887" 1 1 1 0.622 1 0.612 "GSM1315631" "IL6R_OFF" 0
"888" 1 1 1 0.644 1 0.627 "GSM1315631" "IL36R_OFF" 0
"889" 1 1 1 0 0.998 0 "GSM1315762" "IL17R_OFF" 0
"890" 1 1 1 0.998 0.997 0.998 "GSM1315762" "IL22R_OFF" 0
"891" 1 1 1 0.993 0.996 0.991 "GSM1315762" "IL1R1_OFF" 0
"892" 1 1 1 0.993 0.993 0.992 "GSM1315762" "IFNGR_OFF" 0
"893" 1 1 1 0.994 0.998 0.993 "GSM1315762" "IFNAR_OFF" 0
"894" 1 1 1 0 1 0 "GSM1315762" "TNFRSF1A_OFF" 0
"895" 1 1 1 0.995 0.996 0.995 "GSM1315762" "IL6R_OFF" 0
"896" 1 1 1 0.994 0.998 0.993 "GSM1315762" "IL36R_OFF" 0
"897" 1 1 1 0.008 1 0.008 "GSM3293916" "IL17R_OFF" 0
"898" 1 1 1 0.493 1 0.499909 "GSM3293916" "IL22R_OFF" 0
"899" 1 1 1 0.481 1 0.494 "GSM3293916" "IL1R1_OFF" 0
"900" 1 1 1 0.506 1 0.509 "GSM3293916" "IFNGR_OFF" 0
"901" 1 1 1 0.483 1 0.495 "GSM3293916" "IFNAR_OFF" 0
"902" 1 1 1 0.01 1 0.01 "GSM3293916" "TNFRSF1A_OFF" 0
"903" 1 1 1 0.501 1 0.507 "GSM3293916" "IL6R_OFF" 0
"904" 1 1 1 0.483 1 0.495 "GSM3293916" "IL36R_OFF" 0
"905" 1 0.882 1 0.004 0.854 0.001 "GSM2211712" "IL17R_OFF" 0
"906" 1 0.956 1 0.249 0.869 0.062 "GSM2211712" "IL22R_OFF" 0
"907" 1 0.954 1 0.25 0.876 0.063 "GSM2211712" "IL1R1_OFF" 0
"908" 1 0.95 1 0.237 0.844 0.053 "GSM2211712" "IFNGR_OFF" 0
"909" 1 0.957 1 0.248 0.87 0.059 "GSM2211712" "IFNAR_OFF" 0
"910" 1 0.956 1 0 0.865 0 "GSM2211712" "TNFRSF1A_OFF" 0
"911" 1 0.948 1 0.237 0.864 0.074 "GSM2211712" "IL6R_OFF" 0
"912" 1 0.957 1 0.248 0.87 0.059 "GSM2211712" "IL36R_OFF" 0
"913" 1 1 1 0 1 0 "GSM1930387" "IL17R_OFF" 0
"914" 1 1 1 0.33 1 0.322 "GSM1930387" "IL22R_OFF" 0
"915" 1 1 1 0.318 1 0.317 "GSM1930387" "IL1R1_OFF" 0
"916" 1 1 1 0.331 0.997 0.328 "GSM1930387" "IFNGR_OFF" 0
"917" 1 1 1 0.333 1 0.327 "GSM1930387" "IFNAR_OFF" 0
"918" 1 1 1 0 1 0 "GSM1930387" "TNFRSF1A_OFF" 0
"919" 1 1 1 0.327 1 0.323 "GSM1930387" "IL6R_OFF" 0
"920" 1 1 1 0.333 1 0.327 "GSM1930387" "IL36R_OFF" 0
"921" 1 1 1 0 1 0 "GSM1315678" "IL17R_OFF" 0
"922" 1 1 1 0.727 1 0.728 "GSM1315678" "IL22R_OFF" 0
"923" 1 1 1 0.747 1 0.749 "GSM1315678" "IL1R1_OFF" 0
"924" 1 1 1 0.762 1 0.761 "GSM1315678" "IFNGR_OFF" 0
"925" 1 1 1 0.751 1 0.752 "GSM1315678" "IFNAR_OFF" 0
"926" 1 1 1 0 1 0 "GSM1315678" "TNFRSF1A_OFF" 0
"927" 1 1 1 0.758 1 0.762 "GSM1315678" "IL6R_OFF" 0
"928" 1 1 1 0.751 1 0.752 "GSM1315678" "IL36R_OFF" 0
"929" 1 1 1 0 1 0 "GSM1315706" "IL17R_OFF" 0
"930" 1 1 1 0.965 1 0.963 "GSM1315706" "IL22R_OFF" 0
"931" 1 1 1 0.967 1 0.968 "GSM1315706" "IL1R1_OFF" 0
"932" 1 1 1 0.966 1 0.965 "GSM1315706" "IFNGR_OFF" 0
"933" 1 1 1 0.971 1 0.973 "GSM1315706" "IFNAR_OFF" 0
"934" 1 1 1 0 1 0 "GSM1315706" "TNFRSF1A_OFF" 0
"935" 1 1 1 0.973 1 0.972 "GSM1315706" "IL6R_OFF" 0
"936" 1 1 1 0.971 1 0.973 "GSM1315706" "IL36R_OFF" 0
"937" 1 1 1 0.001 0.71 0 "GSM1315671" "IL17R_OFF" 0
"938" 1 1 1 0.847 0.674 0.371 "GSM1315671" "IL22R_OFF" 0
"939" 1 1 1 0.847 0.677 0.362 "GSM1315671" "IL1R1_OFF" 0
"940" 1 1 1 0.853 0.696 0.355 "GSM1315671" "IFNGR_OFF" 0
"941" 1 1 1 0.839 0.677 0.366 "GSM1315671" "IFNAR_OFF" 0
"942" 1 1 1 0 0.698 0 "GSM1315671" "TNFRSF1A_OFF" 0
"943" 1 1 1 0.849 0.673 0.387 "GSM1315671" "IL6R_OFF" 0
"944" 1 1 1 0.839 0.677 0.366 "GSM1315671" "IL36R_OFF" 0
"945" 1 1 1 0 1 0 "GSM1656056" "IL17R_OFF" 0.001
"946" 1 1 1 1 1 1 "GSM1656056" "IL22R_OFF" 0.001
"947" 1 1 1 1 1 1 "GSM1656056" "IL1R1_OFF" 0.001
"948" 1 1 1 1 1 1 "GSM1656056" "IFNGR_OFF" 0.002
"949" 1 1 1 1 1 1 "GSM1656056" "IFNAR_OFF" 0.001
"950" 1 1 1 0 1 0 "GSM1656056" "TNFRSF1A_OFF" 0
"951" 1 1 1 1 1 1 "GSM1656056" "IL6R_OFF" 0.001
"952" 1 1 1 1 1 1 "GSM1656056" "IL36R_OFF" 0.001
"953" 1 1 1 0 1 0 "GSM1315703" "IL17R_OFF" 0
"954" 1 1 1 0.979 1 0.978 "GSM1315703" "IL22R_OFF" 0
"955" 1 1 1 0.984 1 0.982 "GSM1315703" "IL1R1_OFF" 0
"956" 1 1 1 0.974 1 0.975 "GSM1315703" "IFNGR_OFF" 0
"957" 1 1 1 0.982 1 0.98 "GSM1315703" "IFNAR_OFF" 0
"958" 1 1 1 0 1 0 "GSM1315703" "TNFRSF1A_OFF" 0
"959" 1 1 1 0.982 1 0.983 "GSM1315703" "IL6R_OFF" 0
"960" 1 1 1 0.982 1 0.98 "GSM1315703" "IL36R_OFF" 0
"961" 1 1 1 0 1 0 "GSM1163038" "IL17R_OFF" 0
"962" 1 1 1 0.976 1 0.973 "GSM1163038" "IL22R_OFF" 0
"963" 1 1 1 0.97 1 0.97 "GSM1163038" "IL1R1_OFF" 0
"964" 1 1 1 0.984 1 0.983 "GSM1163038" "IFNGR_OFF" 0.001
"965" 1 1 1 0.97 1 0.972 "GSM1163038" "IFNAR_OFF" 0
"966" 1 1 1 0 1 0 "GSM1163038" "TNFRSF1A_OFF" 0.002
"967" 1 1 1 0.968 1 0.968 "GSM1163038" "IL6R_OFF" 0
"968" 1 1 1 0.97 1 0.972 "GSM1163038" "IL36R_OFF" 0
"969" 1 1 1 0.258 0.999 0.134 "GSM1315742" "IL17R_OFF" 0
"970" 1 1 1 0.876 0.997 0.505 "GSM1315742" "IL22R_OFF" 0
"971" 1 1 1 0.88 0.997 0.489 "GSM1315742" "IL1R1_OFF" 0
"972" 1 1 0.991 0.879 0.998 0.508 "GSM1315742" "IFNGR_OFF" 0
"973" 1 1 1 0.868 0.997 0.488 "GSM1315742" "IFNAR_OFF" 0
"974" 1 1 1 0 1 0 "GSM1315742" "TNFRSF1A_OFF" 0
"975" 1 1 1 0.885 0.997 0.482 "GSM1315742" "IL6R_OFF" 0
"976" 1 1 1 0.868 0.997 0.488 "GSM1315742" "IL36R_OFF" 0
"977" 1 1 1 0.038 1 0.038 "GSM1561650" "IL17R_OFF" 0
"978" 1 1 1 0.449 1 0.448 "GSM1561650" "IL22R_OFF" 0
"979" 1 1 1 0.44 1 0.436 "GSM1561650" "IL1R1_OFF" 0
"980" 1 1 1 0.4482 1 0.452 "GSM1561650" "IFNGR_OFF" 0
"981" 1 1 1 0.437 1 0.429 "GSM1561650" "IFNAR_OFF" 0
"982" 1 1 1 0.04 1 0.041 "GSM1561650" "TNFRSF1A_OFF" 0
"983" 1 1 1 0.448 1 0.452 "GSM1561650" "IL6R_OFF" 0
"984" 1 1 1 0.437 1 0.429 "GSM1561650" "IL36R_OFF" 0
"985" 1 1 1 0 0.945 0 "GSM1315685" "IL17R_OFF" 0
"986" 1 1 1 0.923 0.942 0.915 "GSM1315685" "IL22R_OFF" 0
"987" 1 1 1 0.929 0.953 0.923 "GSM1315685" "IL1R1_OFF" 0
"988" 1 1 1 0.921 0.956 0.91 "GSM1315685" "IFNGR_OFF" 0
"989" 1 1 1 0.932 0.953 0.926 "GSM1315685" "IFNAR_OFF" 0
"990" 1 1 1 0.003 0.961 0.003 "GSM1315685" "TNFRSF1A_OFF" 0
"991" 1 1 1 0.921 0.953 0.919 "GSM1315685" "IL6R_OFF" 0
