"Immune_cells" "Inflammation" "Neutrophils" "Proliferation" "Th1" "Th17" "Patient" "Perturbation" "Apoptosis"
"160" 1 1 1 0.621 1 0.536 "GSM1315633" "IL36R_OFF" 0
"161" 1 1 1 0.156 0.716 0.153 "GSM1315610" "IL17R_OFF" 0
"162" 1 1 1 0.176 0.702 0.177 "GSM1315610" "IL22R_OFF" 0
"163" 1 1 1 0.198 0.678 0.2 "GSM1315610" "IL1R1_OFF" 0
"164" 1 1 1 0.208 0.665 0.207 "GSM1315610" "IFNGR_OFF" 0
"165" 1 1 1 0.194 0.699 0.191 "GSM1315610" "IFNAR_OFF" 0
"166" 1 1 1 0.176 0.684 0.177 "GSM1315610" "TNFRSF1A_OFF" 0
"167" 1 1 1 0.19 0.685 0.192 "GSM1315610" "IL6R_OFF" 0
"168" 1 1 1 0.194 0.699 0.191 "GSM1315610" "IL36R_OFF" 0
"169" 1 1 1 0 1 0 "GSM1930394" "IL17R_OFF" 0
"170" 1 1 1 0.995 1 0.994 "GSM1930394" "IL22R_OFF" 0
"171" 1 1 1 0.997 1 0.997 "GSM1930394" "IL1R1_OFF" 0
"172" 1 1 1 0.994587 1 0.995 "GSM1930394" "IFNGR_OFF" 0
"173" 1 1 1 0.997 1 0.997 "GSM1930394" "IFNAR_OFF" 0
"174" 1 1 1 0 1 0 "GSM1930394" "TNFRSF1A_OFF" 0
"175" 1 1 1 0.997 1 0.997 "GSM1930394" "IL6R_OFF" 0
"176" 1 1 1 0.997 1 0.997 "GSM1930394" "IL36R_OFF" 0
"177" 1 0.992 1 0.002 1 0.002 "GSM2211691" "IL17R_OFF" 0
"178" 1 1 1 0.974 1 0.976 "GSM2211691" "IL22R_OFF" 0
"179" 1 1 1 0.967 1 0.967 "GSM2211691" "IL1R1_OFF" 0
"180" 1 1 1 0.973 1 0.974 "GSM2211691" "IFNGR_OFF" 0
"181" 1 1 1 0.963 1 0.963 "GSM2211691" "IFNAR_OFF" 0
"182" 1 1 1 0.001723 1 0.001 "GSM2211691" "TNFRSF1A_OFF" 0
"183" 1 1 1 0.967464 1 0.97 "GSM2211691" "IL6R_OFF" 0
"184" 1 1 1 0.963 1 0.963 "GSM2211691" "IL36R_OFF" 0
"185" 1 1 1 0 1 0 "GSM2211707" "IL17R_OFF" 0
"186" 1 1 1 0.857 1 0.66 "GSM2211707" "IL22R_OFF" 0
"187" 1 1 1 0.867203 1 0.676 "GSM2211707" "IL1R1_OFF" 0
"188" 1 1 1 0.88 1 0.681 "GSM2211707" "IFNGR_OFF" 0
"189" 1 1 1 0.867203 1 0.671 "GSM2211707" "IFNAR_OFF" 0
"190" 1 1 1 0 1 0 "GSM2211707" "TNFRSF1A_OFF" 0
"191" 1 1 1 0.855 1 0.667 "GSM2211707" "IL6R_OFF" 0
"192" 1 1 1 0.867203 1 0.671 "GSM2211707" "IL36R_OFF" 0
"193" 1 1 1 0 1 0 "GSM3293917" "IL17R_OFF" 0
"194" 1 1 1 0.676 1 0.669167 "GSM3293917" "IL22R_OFF" 0
"195" 1 1 1 0.693 1 0.688 "GSM3293917" "IL1R1_OFF" 0
"196" 1 1 1 0.664 1 0.658 "GSM3293917" "IFNGR_OFF" 0
"197" 1 1 1 0.694 1 0.694 "GSM3293917" "IFNAR_OFF" 0
"198" 1 1 1 0 1 0 "GSM3293917" "TNFRSF1A_OFF" 0
"199" 1 1 1 0.675118 1 0.661 "GSM3293917" "IL6R_OFF" 0
"200" 1 1 1 0.694 1 0.694 "GSM3293917" "IL36R_OFF" 0
"201" 1 1 0.98 0 0.948 0 "GSM1656074" "IL17R_OFF" 0
"202" 1 1 1 0.53747 0.97 0.168 "GSM1656074" "IL22R_OFF" 0
"203" 1 1 1 0.501 0.958 0.16 "GSM1656074" "IL1R1_OFF" 0
"204" 0.999 1 1 0.524 0.962 0.171 "GSM1656074" "IFNGR_OFF" 0
"205" 1 1 1 0.514 0.961 0.152 "GSM1656074" "IFNAR_OFF" 0
"206" 1 1 1 0.007 0.961 0.003 "GSM1656074" "TNFRSF1A_OFF" 0
"207" 1 1 1 0.523 0.962 0.166 "GSM1656074" "IL6R_OFF" 0
"208" 1 1 1 0.514 0.961 0.152 "GSM1656074" "IL36R_OFF" 0
"209" 1 1 1 0 1 0 "GSM1656066" "IL17R_OFF" 0
