	GSM1023434	GSM1023435	GSM1023436	GSM1023437	GSM1023438	GSM1023439
ENSG00000202058.1	33.514370701517	35.7812684041514	125.267531514398	26.3003605519839	91.1593855750702	116.960400299346
ENSG00000100227.18	20.1893799406729	25.5262008241454	29.8020484649258	18.4585099286859	24.519568423654	30.179289584735
ENSG00000100243.21	9.55630650525184	10.3665357058757	21.2695117674989	4.10189109526354	8.7396481510054	15.2774826943472
ENSG00000128274.17	1.74974626152498	2.00642626565335	3.83345851623527	2.17158940337482	1.94214403355676	3.63153277160711
ENSG00000234009.1	4.98004705203265	9.8091950765275	7.54325708033391	6.75605592161054	5.94781610276756	6.51171393529551
ENSG00000242247.11	23.6888724637229	19.1725176495765	17.8070331076735	17.0107836597694	11.8956322055351	14.5261310864285
ENSG00000100266.19	42.1285061428708	44.4757822219826	52.0608398495177	28.4719499553587	30.1032325201297	51.9684862143777
ENSG00000100271.17	3.90328012186343	3.00963939848003	4.32809832478175	2.654164826347	5.34089609228108	4.25765911153937
ENSG00000100294.12	0.672979331355763	1.4490856363052	0.989279617092972	1.3270824131735	2.30629603984865	2.6297306277155
ENSG00000100300.18	2.15353386033844	1.33761751043557	2.10221918632257	1.08579470168741	0.971072016778378	2.37928009174259
ENSG00000100304.13	3.49949252304997	6.46515130043858	8.0378968888804	3.73995952803441	7.16165612374053	9.39189509898391
ENSG00000186976.15	8.47953957508262	13.9335157337038	3.70979856409865	9.16893303647145	7.16165612374053	3.25585696764776
ENSG00000130540.14	0	5.23900191587264	0	0.482575422972182	2.79183204823784	0
ENSG00000100341.11	0	4.23578878304597	0	0	0.242768004194594	0.250450535972904
ENSG00000100344.10	15.0747370223691	30.3193302365395	18.4253328683566	9.89279617092972	14.4446962495784	17.4063122501169
ENSG00000100347.15	21.4007427371133	40.128525313067	38.3345851623527	25.2145658502965	36.0510486228973	40.4477615596241
ENSG00000188677.14	4.8454511857615	5.68487441935116	5.1937179897381	2.654164826347	3.64152006291892	6.51171393529551
ENSG00000279175.1	3.49949252304997	6.79955567804747	3.83345851623527	1.56837012465959	0.971072016778378	2.75495589570195
ENSG00000280434.1	3.76868425559227	6.68808755217784	8.77985660170013	2.654164826347	2.42768004194594	4.63333491549873
ENSG00000138964.17	0.538383465084611	0.891745006957045	1.36025947350284	0.723863134458272	1.94214403355676	2.75495589570195
ENSG00000138944.8	5.51843051711726	2.56376689500151	5.31737794187473	1.80965783614568	8.25411214261621	5.13423598744454
ENSG00000188636.4	8.47953957508262	5.57340629348153	5.44103789401135	9.53086460370059	5.70504809857297	5.13423598744454
ENSG00000241484.9	1.74974626152498	2.34083064326224	2.22587913845919	1.80965783614568	2.91321605033513	0.876576875905165
ENSG00000226328.7	8.74873130762492	8.24864131435267	7.17227722392405	8.20378219052709	14.9302322579676	10.0180214389162
ENSG00000093000.19	83.9878205531993	89.2859688215742	69.4968931007813	114.370375244407	111.673281929513	102.809945016877
ENSG00000100364.18	83.4494370881146	105.337378946801	119.455513763976	77.9359308100073	136.435618357362	135.493739961341
ENSG00000100376.12	9.42171063898069	14.490856363052	13.1079549264819	8.56571375775622	10.3176401782703	14.6513563544149
ENSG00000077935.17	2.42272559288075	1.4490856363052	1.11293956922959	1.3270824131735	1.33522402307027	1.37747794785097
ENSG00000077942.19	194.221835029273	183.922407684891	251.895322502298	114.129087532921	82.4197374240648	161.415370434537
ENSG00000280383.1	21.2661468708421	24.1885833137099	17.5597132034003	26.9035798306991	13.8377762390919	13.023427870591
ENSG00000130638.17	56.5302638338841	51.7212104035086	42.7863434392711	64.6651066782723	48.6749848410162	41.1991131675428
ENSG00000235347.1	1.74974626152498	3.34404377608892	1.11293956922959	2.17158940337482	0.971072016778378	1.25225267986452
ENSG00000188064.10	5.78762224965956	3.90138440543707	15.4574940170777	2.53352097060395	1.82076003145946	6.88738973925487
ENSG00000231711.2	2.82651319169421	4.0128525313067	3.58613861196202	1.68901398040264	1.94214403355676	4.50810964751228
ENSG00000182257.8	1.61515039525383	1.4490856363052	2.8441788991423	0.965150845944363	3.64152006291892	1.00180214389162
